id,board_from,alight_to,arr_time
1,1,3,07:00:25.531915
2,1,2,07:00:51.063830
3,1,5,07:01:16.595745
4,1,5,07:01:43.262412
5,1,8,07:02:09.811085
6,1,9,07:02:35.343000
7,1,8,07:03:01.774718
8,1,10,07:03:28.090507
9,1,9,07:03:54.177464
10,1,10,07:04:20.493253
11,1,4,07:04:46.134279
12,1,2,07:05:12.682952
13,1,5,07:05:38.214867
14,1,7,07:06:04.301824
15,1,8,07:06:29.942850
16,1,10,07:06:56.143723
17,1,10,07:07:22.230680
18,1,5,07:07:47.871706
19,1,8,07:08:13.512732
20,1,7,07:08:39.486758
21,1,7,07:09:05.802547
22,1,2,07:09:32.234265
23,1,6,07:09:58.321222
24,1,5,07:10:24.408179
25,1,6,07:10:50.839897
26,1,10,07:11:16.590970
27,1,3,07:11:42.791843
28,1,9,07:12:08.323758
29,1,5,07:12:34.185827
30,1,9,07:12:59.936900
31,1,2,07:13:25.577926
32,1,3,07:13:51.551952
33,1,8,07:14:17.638909
34,1,6,07:14:43.839782
35,1,6,07:15:10.155571
36,1,10,07:15:36.822238
37,1,2,07:16:02.796264
38,1,3,07:16:28.997137
39,1,7,07:16:54.859206
40,1,6,07:17:21.174995
41,1,5,07:17:46.816021
42,1,6,07:18:12.567094
43,1,9,07:18:38.318167
44,1,6,07:19:04.984834
45,1,5,07:19:31.185707
46,1,3,07:19:56.717622
47,1,10,07:20:22.579691
48,1,3,07:20:49.246358
49,1,5,07:21:15.795031
50,1,6,07:21:41.995904
51,1,3,07:22:08.427622
52,1,8,07:22:34.976295
53,1,10,07:23:00.617321
54,1,10,07:23:26.479390
55,1,9,07:23:52.911108
56,1,6,07:24:18.998065
57,1,5,07:24:45.313854
58,1,3,07:25:11.745572
59,1,4,07:25:37.946445
60,1,2,07:26:04.495118
61,1,6,07:26:30.136144
62,1,2,07:26:55.777170
63,1,7,07:27:22.092959
64,1,5,07:27:47.733985
65,1,5,07:28:14.282658
66,1,7,07:28:40.831331
67,1,10,07:29:07.380004
68,1,7,07:29:33.811722
69,1,8,07:29:59.343637
70,1,2,07:30:25.775355
71,1,4,07:30:51.416381
72,1,8,07:31:17.848099
73,1,9,07:31:43.935056
74,1,7,07:32:10.601723
75,1,7,07:32:36.352796
76,1,4,07:33:01.993822
77,1,4,07:33:28.542495
78,1,8,07:33:55.091168
79,1,9,07:34:20.842241
80,1,4,07:34:47.390914
81,1,4,07:35:13.706703
82,1,6,07:35:39.907576
83,1,5,07:36:06.456249
84,1,2,07:36:32.207322
85,1,8,07:36:58.408195
86,1,6,07:37:24.049221
87,1,7,07:37:50.250094
88,1,8,07:38:16.681812
89,1,4,07:38:42.882685
90,1,2,07:39:09.198474
91,1,3,07:39:34.730389
92,1,7,07:40:01.046178
93,1,4,07:40:27.133135
94,1,10,07:40:53.334008
95,1,8,07:41:19.308034
96,1,9,07:41:45.282060
97,1,7,07:42:11.482933
98,1,10,07:42:38.031606
99,1,6,07:43:03.782679
100,1,3,07:43:29.756705
101,1,6,07:43:56.188423
102,1,3,07:44:22.162449
103,1,8,07:44:48.711122
104,1,10,07:45:14.352148
105,1,5,07:45:40.439105
106,1,6,07:46:06.987778
107,1,4,07:46:33.188651
108,1,8,07:46:58.720566
109,1,9,07:47:24.807523
110,1,10,07:47:50.448549
111,1,6,07:48:16.535506
112,1,6,07:48:43.084179
113,1,9,07:49:09.285052
114,1,3,07:49:35.259078
115,1,7,07:50:01.346035
116,1,9,07:50:27.777753
117,1,8,07:50:53.751779
118,1,3,07:51:20.067568
119,1,7,07:51:46.383357
120,1,6,07:52:12.245426
121,1,8,07:52:37.996499
122,1,8,07:53:03.970525
123,1,4,07:53:30.171398
124,1,2,07:53:56.487187
125,1,2,07:54:22.918905
126,1,8,07:54:49.350623
127,1,7,07:55:15.437580
128,1,3,07:55:41.524537
129,1,3,07:56:07.386606
130,1,4,07:56:33.935279
131,1,5,07:57:00.251068
132,1,5,07:57:26.566857
133,1,5,07:57:52.317930
134,1,9,07:58:17.958956
135,1,3,07:58:43.710029
136,1,4,07:59:09.684055
137,1,9,07:59:35.771012
138,1,4,08:00:01.971885
139,1,2,08:00:28.172758
140,1,5,08:00:54.373631
141,1,2,08:01:20.574504
142,1,10,08:01:46.775377
143,1,2,08:02:12.976250
144,1,3,08:02:39.177123
145,1,9,08:03:05.377996
146,1,6,08:03:31.578869
147,1,4,08:03:57.779742
148,1,10,08:04:23.980615
149,1,3,08:04:50.181488
150,1,7,08:05:16.382361
151,1,4,08:05:42.583234
152,1,8,08:06:08.784107
153,1,8,08:06:34.984980
154,1,4,08:07:01.185853
155,1,6,08:07:27.386726
156,1,8,08:07:53.587599
157,1,5,08:08:19.788472
158,1,10,08:08:45.989345
159,1,3,08:09:12.190218
160,1,8,08:09:38.391091
161,1,2,08:10:04.591964
162,1,8,08:10:30.792837
163,1,5,08:10:56.993710
164,1,7,08:11:23.194583
165,1,9,08:11:49.395456
166,1,10,08:12:15.596329
167,1,10,08:12:41.797202
168,1,7,08:13:07.998075
169,1,3,08:13:34.198948
170,1,10,08:14:00.399821
171,1,6,08:14:26.600694
172,1,2,08:14:52.801567
173,1,9,08:15:19.002440
174,1,7,08:15:45.203313
175,1,2,08:16:11.404186
176,1,6,08:16:37.605059
177,1,5,08:17:03.805932
178,1,9,08:17:30.006805
179,1,9,08:17:56.207678
180,1,6,08:18:22.408551
181,1,5,08:18:48.609424
182,1,7,08:19:14.810297
183,1,6,08:19:41.011170
184,1,5,08:20:07.212043
185,1,6,08:20:33.412916
186,1,10,08:20:59.613789
187,1,4,08:21:25.814662
188,1,9,08:21:52.015535
189,1,5,08:22:18.216408
190,1,2,08:22:44.417281
191,1,8,08:23:10.618154
192,1,9,08:23:36.819027
193,1,5,08:24:03.019900
194,1,7,08:24:29.220773
195,1,7,08:24:55.421646
196,1,3,08:25:21.622519
197,1,6,08:25:47.823392
198,1,4,08:26:14.024265
199,1,6,08:26:40.225138
200,1,7,08:27:06.426011
201,1,4,08:27:32.626884
202,1,6,08:27:58.827757
203,1,6,08:28:25.028630
204,1,5,08:28:51.229503
205,1,3,08:29:17.430376
206,1,2,08:29:43.631249
207,1,7,08:30:09.832122
208,1,10,08:30:36.032995
209,1,6,08:31:02.233868
210,1,9,08:31:28.434741
211,1,8,08:31:54.635614
212,1,8,08:32:20.836487
213,1,5,08:32:47.037360
214,1,9,08:33:13.238233
215,1,9,08:33:39.439106
216,1,6,08:34:05.639979
217,1,10,08:34:31.840852
218,1,2,08:34:58.041725
219,1,6,08:35:24.242598
220,1,7,08:35:50.443471
221,1,7,08:36:16.644344
222,1,3,08:36:42.845217
223,1,8,08:37:09.046090
224,1,6,08:37:35.246963
225,1,7,08:38:01.447836
226,1,8,08:38:27.648709
227,1,3,08:38:53.849582
228,1,3,08:39:20.050455
229,1,6,08:39:46.251328
230,1,10,08:40:12.452201
231,1,7,08:40:38.653074
232,1,6,08:41:04.853947
233,1,9,08:41:31.054820
234,1,4,08:41:57.255693
235,1,7,08:42:23.456566
236,1,8,08:42:49.657439
237,1,9,08:43:15.858312
238,1,5,08:43:42.059185
239,1,9,08:44:08.260058
240,1,5,08:44:34.460931
241,1,10,08:45:00.661804
242,1,3,08:45:26.862677
243,1,4,08:45:53.063550
244,1,2,08:46:19.264423
245,1,4,08:46:45.465296
246,1,7,08:47:11.666169
247,1,2,08:47:37.867042
248,1,10,08:48:04.067915
249,1,5,08:48:30.268788
250,1,5,08:48:56.469661
251,1,7,08:49:22.670534
252,1,4,08:49:48.871407
253,1,6,08:50:15.072280
254,1,2,08:50:41.273153
255,1,4,08:51:07.474026
256,1,3,08:51:33.674899
257,1,3,08:51:59.875772
258,1,7,08:52:26.076645
259,1,8,08:52:52.277518
260,1,7,08:53:18.478391
261,1,3,08:53:44.679264
262,1,3,08:54:10.880137
263,1,6,08:54:37.081010
264,1,2,08:55:03.281883
265,1,4,08:55:29.482756
266,1,4,08:55:55.683629
267,1,8,08:56:21.884502
268,1,3,08:56:48.085375
269,1,2,08:57:14.286248
270,1,8,08:57:40.487121
271,1,10,08:58:06.687994
272,1,2,08:58:32.888867
273,1,8,08:58:59.089740
274,1,10,08:59:25.290613
275,1,8,08:59:51.491486
276,1,2,09:00:17.692359
277,1,3,09:00:43.893232
278,1,7,09:01:10.094105
279,1,8,09:01:36.294978
280,1,9,09:02:02.495851
281,1,10,09:02:28.696724
282,1,10,09:02:54.897597
283,1,10,09:03:21.098470
284,1,9,09:03:47.299343
285,1,2,09:04:13.500216
286,1,10,09:04:39.701089
287,1,2,09:05:05.901962
288,1,8,09:05:32.102835
289,1,2,09:05:58.303708
290,1,6,09:06:24.504581
291,1,4,09:06:50.705454
292,1,3,09:07:16.906327
293,1,7,09:07:43.107200
294,1,7,09:08:09.308073
295,1,6,09:08:35.508946
296,1,8,09:09:01.709819
297,1,5,09:09:27.910692
298,1,6,09:09:54.111565
299,1,2,09:10:20.312438
300,1,2,09:10:46.513311
301,1,9,09:11:12.714184
302,1,2,09:11:38.915057
303,1,7,09:12:05.115930
304,1,3,09:12:31.316803
305,1,10,09:12:57.517676
306,1,3,09:13:23.718549
307,1,3,09:13:49.919422
308,1,4,09:14:16.120295
309,1,10,09:14:42.321168
310,1,8,09:15:08.522041
311,1,3,09:15:34.722914
312,1,9,09:16:00.923787
313,1,3,09:16:27.124660
314,1,8,09:16:53.325533
315,1,10,09:17:19.526406
316,1,7,09:17:45.727279
317,1,10,09:18:11.928152
318,1,4,09:18:38.129025
319,1,9,09:19:04.329898
320,1,10,09:19:30.530771
321,1,8,09:19:56.731644
322,1,5,09:20:22.932517
323,1,3,09:20:49.133390
324,1,10,09:21:15.334263
325,1,10,09:21:41.535136
326,1,3,09:22:07.736009
327,1,4,09:22:33.936882
328,1,5,09:23:00.137755
329,1,10,09:23:26.338628
330,1,8,09:23:52.539501
331,1,2,09:24:18.740374
332,1,9,09:24:44.941247
333,1,10,09:25:11.142120
334,1,9,09:25:37.342993
335,1,3,09:26:03.543866
336,1,10,09:26:29.744739
337,1,8,09:26:55.945612
338,1,5,09:27:22.146485
339,1,10,09:27:48.347358
340,1,5,09:28:14.548231
341,1,9,09:28:40.749104
342,1,10,09:29:06.949977
343,1,9,09:29:33.150850
344,1,5,09:29:59.351723
345,1,8,09:30:25.552596
346,1,5,09:30:51.753469
347,1,7,09:31:17.954342
348,1,2,09:31:44.155215
349,1,7,09:32:10.356088
350,1,6,09:32:36.556961
351,1,6,09:33:02.757834
352,1,3,09:33:28.958707
353,1,10,09:33:55.159580
354,1,3,09:34:21.360453
355,1,4,09:34:47.561326
356,1,4,09:35:13.762199
357,1,5,09:35:39.963072
358,1,9,09:36:06.163945
359,1,3,09:36:32.364818
360,1,4,09:36:58.565691
361,1,2,09:37:24.766564
362,1,5,09:37:50.967437
363,1,10,09:38:17.168310
364,1,5,09:38:43.369183
365,1,5,09:39:09.570056
366,1,2,09:39:35.770929
367,1,7,09:40:01.971802
368,1,9,09:40:28.172675
369,1,8,09:40:54.373548
370,1,5,09:41:20.574421
371,1,2,09:41:46.775294
372,1,5,09:42:12.976167
373,1,3,09:42:39.177040
374,1,7,09:43:05.377913
375,1,5,09:43:31.578786
376,1,8,09:43:57.779659
377,1,4,09:44:23.980532
378,1,3,09:44:50.181405
379,1,5,09:45:16.382278
380,1,3,09:45:42.583151
381,1,3,09:46:08.784024
382,1,6,09:46:34.984897
383,1,4,09:47:01.185770
